time_bin,topic_id,frequency,bin_start,bin_end,Timestamp,words,velocity,trend_label,freq_median_topic
"(2020-08-28 00:00:00, 2020-09-17 00:00:00]",0,0.0012505210504376,2020-08-28 00:00:00.000000,2020-09-17,2020-09-07 00:00:00.000000,,-8.56673673342965e-05,Stable,0.00090317712794155
"(2020-09-17 00:00:00, 2020-10-06 00:00:00]",0,0.0009090909090909,2020-09-17 00:00:00.000000,2020-10-06,2020-09-26 12:00:00.000000,,-0.0003410037090302803,Stable,0.00090317712794155
"(2020-10-06 00:00:00, 2020-10-26 00:00:00]",0,0.0012728044123886,2020-10-06 00:00:00.000000,2020-10-26,2020-10-16 00:00:00.000000,,0.0003633831549749955,Stable,0.00090317712794155
"(2020-10-26 00:00:00, 2020-11-14 00:00:00]",0,0.0012919896640826,2020-10-26 00:00:00.000000,2020-11-14,2020-11-04 12:00:00.000000,,1.9160863662185557e-05,Stable,0.00090317712794155
"(2020-11-14 00:00:00, 2020-12-03 00:00:00]",0,0.0012886597938144,2020-11-14 00:00:00.000000,2020-12-03,2020-11-23 12:00:00.000000,,-3.3255736614023237e-06,Stable,0.00090317712794155
"(2020-12-03 00:00:00, 2020-12-24 00:00:00]",0,0.000438596491228,2020-12-03 00:00:00.000000,2020-12-24,2020-12-13 12:00:00.000000,,-0.0008489692700219388,Stable,0.00090317712794155
"(2020-12-24 00:00:00, 2021-01-19 00:00:00]",0,0.0,2020-12-24 00:00:00.000000,2021-01-19,2021-01-06 00:00:00.000000,,-0.00043840420868033325,Stable,0.00090317712794155
"(2021-01-19 00:00:00, 2021-02-09 00:00:00]",0,0.0,2021-01-19 00:00:00.000000,2021-02-09,2021-01-29 12:00:00.000000,,0.0,Stable,0.00090317712794155
"(2021-02-09 00:00:00, 2021-02-28 00:00:00]",0,0.0,2021-02-09 00:00:00.000000,2021-02-28,2021-02-18 12:00:00.000000,,0.0,Stable,0.00090317712794155
"(2021-02-28 00:00:00, 2021-03-23 00:00:00]",0,0.0,2021-02-28 00:00:00.000000,2021-03-23,2021-03-11 12:00:00.000000,,0.0,Stable,0.00090317712794155
"(2021-03-23 00:00:00, 2021-06-08 00:00:00]",0,0.0,2021-03-23 00:00:00.000000,2021-06-08,2021-04-30 12:00:00.000000,,0.0,Stable,0.00090317712794155
"(2021-06-08 00:00:00, 2021-08-17 00:00:00]",0,0.0,2021-06-08 00:00:00.000000,2021-08-17,2021-07-13 00:00:00.000000,,0.0,Stable,0.00090317712794155
"(2021-08-17 00:00:00, 2021-10-22 00:00:00]",0,0.0,2021-08-17 00:00:00.000000,2021-10-22,2021-09-19 00:00:00.000000,,0.0,Stable,0.00090317712794155
"(2021-10-22 00:00:00, 2021-12-31 00:00:00]",0,0.0,2021-10-22 00:00:00.000000,2021-12-31,2021-11-26 00:00:00.000000,,0.0,Stable,0.00090317712794155
"(2018-12-31 23:59:59.999999, 2019-01-29 00:00:00]",1,0.0,2018-12-31 23:59:59.999999,2019-01-29,2019-01-14 23:59:59.999999,,0.0,Stable,0.0
"(2019-01-29 00:00:00, 2019-02-20 00:00:00]",1,0.0004470272686633,2019-01-29 00:00:00.000000,2019-02-20,2019-02-09 00:00:00.000000,,0.0004470272686633,Stable,0.0
"(2019-02-20 00:00:00, 2019-03-16 00:00:00]",1,0.0008536064874093,2019-02-20 00:00:00.000000,2019-03-16,2019-03-04 00:00:00.000000,,0.00040639754796014397,Stable,0.0
"(2019-03-16 00:00:00, 2019-04-09 00:00:00]",1,0.0012760527435133,2019-03-16 00:00:00.000000,2019-04-09,2019-03-28 00:00:00.000000,,0.0004220859607896255,Stable,0.0
"(2019-04-09 00:00:00, 2019-05-03 00:00:00]",1,0.0004387889425186,2019-04-09 00:00:00.000000,2019-05-03,2019-04-21 00:00:00.000000,,-0.0008361967698124637,Stable,0.0
"(2019-05-03 00:00:00, 2019-05-26 00:00:00]",1,0.0008775778850372,2019-05-03 00:00:00.000000,2019-05-26,2019-05-14 12:00:00.000000,,0.0004385964912280217,Stable,0.0
"(2019-05-26 00:00:00, 2019-06-20 00:00:00]",1,0.0004214075010535,2019-05-26 00:00:00.000000,2019-06-20,2019-06-07 12:00:00.000000,,-0.00045577040995127245,Stable,0.0
"(2019-06-20 00:00:00, 2019-07-15 00:00:00]",1,0.0004486316733961,2019-06-20 00:00:00.000000,2019-07-15,2019-07-02 12:00:00.000000,,2.7212704704713478e-05,Stable,0.0
"(2019-07-15 00:00:00, 2019-08-08 00:00:00]",1,0.0004266211604095,2019-07-15 00:00:00.000000,2019-08-08,2019-07-27 00:00:00.000000,,-2.2000642801404237e-05,Stable,0.0
"(2019-08-08 00:00:00, 2019-09-01 00:00:00]",1,0.0008932559178204,2019-08-08 00:00:00.000000,2019-09-01,2019-08-20 00:00:00.000000,,0.00046643576604313416,Stable,0.0
"(2019-09-01 00:00:00, 2019-09-25 00:00:00]",1,0.0008661758336942,2019-09-01 00:00:00.000000,2019-09-25,2019-09-13 00:00:00.000000,,-2.7055916268880773e-05,Stable,0.0
