topic_id,timestamp,bin_start,bin_end,frequency,growth_velocity,semantic_velocity,keywords,z_score_growth_vel
554,2021-07-13 00:00:00.000000,2021-06-08 00:00:00.000000,2021-08-17,0.005219660722053,0.003902779070452095,0.5446438789367676,"queensland, covid, records, new, cases",4.172609867336461
220,2019-05-14 12:00:00.000000,2019-05-03 00:00:00.000000,2019-05-26,0.0057042562527424,0.0057042562527424,0.20954692363739014,"keating, paul, election, federal, heart",4.162217724892456
286,2020-05-17 12:00:00.000000,2020-05-08 00:00:00.000000,2020-05-27,0.0039982230119946,0.0039982230119946,0.7008755207061768,"death, carer, investigating, ndis, government",4.157116279711073
233,2019-02-09 00:00:00.000000,2019-01-29 00:00:00.000000,2019-02-20,0.0093875726419311,0.008539347790971548,0.718062698841095,"asylum, medical, evacuation, nauru, manus",4.150563777260058
521,2019-11-01 12:00:00.000000,2019-10-21 00:00:00.000000,2019-11-13,0.0035087719298245,0.0035087719298245,0.5892119407653809,"shooting, police, teen, residents, officer",4.1485244047087235
538,2020-04-05 00:00:00.000000,2020-03-24 00:00:00.000000,2020-04-17,0.0095944177932839,0.005693022447582158,0.45016300678253174,"coronavirus, tasmania, cases, new, north",4.147137340185352
124,2020-11-23 12:00:00.000000,2020-11-14 00:00:00.000000,2020-12-03,0.0042955326460481,0.0042955326460481,0.15393227338790894,"iran, swap, prison, released, australia",4.146971212199052
419,2021-04-30 12:00:00.000000,2021-03-23 00:00:00.000000,2021-06-08,0.0083078268473983,0.0083078268473983,0.2897680997848511,"india, covid, records, daily, deaths",4.141652655121278
67,2019-09-13 00:00:00.000000,2019-09-01 00:00:00.000000,2019-09-25,0.003897791251624,0.0030018539100340304,0.5774169564247131,"greta, thunberg, climate, change, summit",4.135507343630784
243,2020-11-23 12:00:00.000000,2020-11-14 00:00:00.000000,2020-12-03,0.0150343642611683,0.012418296312041653,0.21892380714416504,"war, crimes, report, afghanistan, brereton",4.117569991972878
343,2019-10-08 00:00:00.000000,2019-09-25 00:00:00.000000,2019-10-21,0.0050314465408805,0.004161665972692846,0.3074880838394165,"whistleblower, complaint, trump, donald, says",4.115669720626489
627,2020-11-23 12:00:00.000000,2020-11-14 00:00:00.000000,2020-12-03,0.0038659793814432,0.0038659793814432,0.3848099708557129,"trial, rape, hears, continues, sexual",4.115054511002329
161,2020-01-22 00:00:00.000000,2020-01-08 00:00:00.000000,2020-02-05,0.0038793103448275,0.003454117921979225,0.18572008609771729,"bushfire, cultural, burning, aboriginal, mitigation",4.107253781686078
305,2021-03-11 12:00:00.000000,2021-02-28 00:00:00.000000,2021-03-23,0.004816112084063,0.0035145368093428063,0.8370351791381836,"vaccine, australia, does, italy, doses",4.101344706855404
531,2020-08-01 00:00:00.000000,2020-07-22 00:00:00.000000,2020-08-11,0.0103048518677544,0.008030415010780704,0.38102030754089355,"coronavirus, victoria, outbreaks, basils, outbreak",4.08733735455351
176,2020-08-19 12:00:00.000000,2020-08-11 00:00:00.000000,2020-08-28,0.0075723830734966,0.00541391610033144,0.05080169439315796,"belarus, lukashenko, protests, election, alexander",4.0732794114834325
204,2019-02-09 00:00:00.000000,2019-01-29 00:00:00.000000,2019-02-20,0.0044702726866338,0.0044702726866338,0.4026210904121399,"mokbel, prison, stabbed, hospital, barwon",4.072977374936679
