topic_id,timestamp,bin_start,bin_end,frequency,growth_velocity,semantic_velocity,keywords
21,2020-05-17 12:00:00.000000,2020-05-08 00:00:00.000000,2020-05-27,0.0013327410039982,7.741370645872457e-05,0.5342075824737549,"program, sunday, october, march, june"
21,2020-06-05 12:00:00.000000,2020-05-27 00:00:00.000000,2020-06-15,0.0012771392081736,-5.552779165979349e-05,0.42128026485443115,june
21,2020-06-24 00:00:00.000000,2020-06-15 00:00:00.000000,2020-07-03,0.0012744265080713,-2.709240025638805e-06,0.6839780211448669,"sunday, program, tuesday, durm"
21,2020-07-12 12:00:00.000000,2020-07-03 00:00:00.000000,2020-07-22,0.0022563176895306,0.000980641426031053,0.37391847372055054,"program, sunday, october, march, june"
21,2020-08-01 00:00:00.000000,2020-07-22 00:00:00.000000,2020-08-11,0.0012881064834693,-0.0009660315320269435,0.5334193706512451,"august, july"
21,2020-08-19 12:00:00.000000,2020-08-11 00:00:00.000000,2020-08-28,0.0008908685968819,-0.0003967268601466786,0.5334193706512451,"program, sunday, october, march, june"
21,2020-09-07 00:00:00.000000,2020-08-28 00:00:00.000000,2020-09-17,0.0012505210504376,0.0003593323356620145,0.5090191960334778,"september, august"
21,2020-10-16 00:00:00.000000,2020-10-06 00:00:00.000000,2020-10-26,0.0025456088247772,0.0007261068123910528,0.45410460233688354,"program, sunday, october, march, june"
23,2019-07-27 00:00:00.000000,2019-07-15 00:00:00.000000,2019-08-08,0.0008532423208191,0.00040442920767079233,0.39539670944213867,"thursday, michael, markets, story, senator"
23,2019-08-20 00:00:00.000000,2019-08-08 00:00:00.000000,2019-09-01,0.0004466279589102,-0.0004062677170990884,0.39539670944213867,"markets, mccarthy, sunday, program, michael"
23,2019-10-08 00:00:00.000000,2019-09-25 00:00:00.000000,2019-10-21,0.0012578616352201,0.0008244166734732714,0.7000467777252197,"thursday, wednesday"
23,2019-11-01 12:00:00.000000,2019-10-21 00:00:00.000000,2019-11-13,0.0013157894736842,5.785506479768798e-05,0.4525943994522095,"sunday, program, november, thursday, michael"
23,2019-11-25 00:00:00.000000,2019-11-13 00:00:00.000000,2019-12-07,0.0026749888542131,0.0013574133103836585,0.4647839069366455,"sunday, program, michael, mccarthy, markets"
23,2020-02-16 12:00:00.000000,2020-02-05 00:00:00.000000,2020-02-28,0.0008916629514043,0.0008916629514043,0.6867954134941101,"tuesday, wtih, thursday"
23,2020-03-11 12:00:00.000000,2020-02-28 00:00:00.000000,2020-03-24,0.0,-0.000890868596881891,0.6867954134941101,"markets, mccarthy, sunday, program, michael"
23,2020-11-04 12:00:00.000000,2020-10-26 00:00:00.000000,2020-11-14,0.0021533161068044,0.0021533161068044,0.523913562297821,"sunday, program, november, wrap, weeks"
23,2020-11-23 12:00:00.000000,2020-11-14 00:00:00.000000,2020-12-03,0.0025773195876288,0.0004230924290821902,0.523913562297821,"markets, mccarthy, sunday, program, michael"
25,2019-04-21 00:00:00.000000,2019-04-09 00:00:00.000000,2019-05-03,0.0008775778850372,0.00045203469716097487,0.6550000905990601,"tuesday, friday"
25,2019-05-14 12:00:00.000000,2019-05-03 00:00:00.000000,2019-05-26,0.0,-0.0008768084173607099,0.6550000905990601,"lasker, morgan, phillip, elysse, friday"
25,2019-06-07 12:00:00.000000,2019-05-26 00:00:00.000000,2019-06-20,0.0033712600084281,0.0033712600084281,0.7335865497589111,"wednesday, tuesday, monday"
25,2019-07-27 00:00:00.000000,2019-07-15 00:00:00.000000,2019-08-08,0.0,-0.0022381378692927396,0.7429172992706299,"lasker, morgan, phillip, elysse, friday"
25,2020-06-05 12:00:00.000000,2020-05-27 00:00:00.000000,2020-06-15,0.0008514261387824,0.0004069983296622002,0.6191210150718689,"tuesday, phillip, phil, monday"
25,2020-06-24 00:00:00.000000,2020-06-15 00:00:00.000000,2020-07-03,0.0,-0.0008507018290088719,0.6191210150718689,"lasker, morgan, phillip, elysse, friday"
25,2020-07-12 12:00:00.000000,2020-07-03 00:00:00.000000,2020-07-22,0.0013537906137184,0.0013537906137184,0.7335865497589111,"wednesday, tuesday, monday"
25,2020-08-01 00:00:00.000000,2020-07-22 00:00:00.000000,2020-08-11,0.0,-0.0013519603424966085,0.7335865497589111,"lasker, morgan, phillip, elysse, friday"
25,2021-01-29 12:00:00.000000,2021-01-19 00:00:00.000000,2021-02-09,0.0,-0.0013363028953229073,0.3207961916923523,"lasker, morgan, phillip, elysse, friday"
26,2019-05-14 12:00:00.000000,2019-05-03 00:00:00.000000,2019-05-26,0.0008775778850372,0.0004385964912280217,0.3897329568862915,"markets, finance"
26,2019-06-07 12:00:00.000000,2019-05-26 00:00:00.000000,2019-06-20,0.001685630004214,0.0008073436122770397,0.9058493971824646,"thursday, phillip, lasker, wednesday, martin"
