model,topic_id,top_words
BERTopic,63,"berejiklian, gladys, berejiklians, icac, premier, she, spill, nsw, motion, resignation"
BERTopic,64,"meghan, harry, markle, prince, oprah, duchess, sussex, cambridge, royal, royals"
BERTopic,65,"andrews, daniel, merlino, premier, victorian, victorias, blakely, victorians, says, roadmap"
BERTopic,66,"coal, mine, seam, expansion, acland, mining, gas, hunter, tahmoor, ipc"
BERTopic,67,"solar, energy, renewable, electricity, power, panels, hydrogen, grid, rooftop, renewables"
BERTopic,68,"scam, cyber, scammers, scams, hack, online, romance, cybersecurity, fraud, identity"
BERTopic,69,"heatwave, heat, hottest, hot, record, heatwaves, weather, temperatures, temperature, driest"
BERTopic,70,"pope, catholic, church, priest, francis, abuse, vatican, priests, paedophile, bishops"
BERTopic,71,"trade, wall, street, war, china, tariffs, deal, tariff, optimism, trump"
BERTopic,72,"protesters, protest, clash, anti, lebanon, protestors, beirut, protests, cbd, protester"
BERTopic,73,"custody, coroner, inquest, death, baby, coronial, findings, mason, mother, aboriginal"
BERTopic,74,"barty, ash, ashleigh, wimbledon, open, tennis, wta, ranking, number, french"
BERTopic,75,"gdp, growth, economic, economy, recession, wage, wages, figures, minimum, quarter"
BERTopic,76,"markets, julia, lee, rodda, fiona, kyle, clark, tian, thursday, elizabeth"
BERTopic,77,"australians, talks, survey, migrants, australia, bias, australias, implicit, moving, migrant"
BERTopic,78,"climate, change, scientists, action, science, geoengineering, warming, molan, crowe, statement"
BERTopic,79,"pell, george, cardinal, appeal, pells, vatican, rome, court, conviction, high"
BERTopic,80,"floyd, george, floyds, chauvin, protests, derek, minneapolis, death, houston, riots"
BERTopic,81,"tracing, contact, app, covidsafe, tracers, apps, download, system, contacts, privacy"
BERTopic,82,"qantas, flights, virgin, joyce, outsourcing, twu, flight, sick, crew, passengers"
BERTopic,83,"tourism, operators, tourists, hotel, hospitality, outback, visitors, campaign, attract, package"
BERTopic,84,"sunday, full, program, september, november, october, february, june, march, july"
BERTopic,85,"fly, armyworm, fruit, foxes, flying, insect, pest, bats, pests, butterflies"
BERTopic,86,"shot, shoot, man, shooting, charged, murder, dead, police, penrith, brisbane"
BERTopic,87,"mine, gold, miner, miners, rush, mining, bootu, pit, underground, henty"
BERTopic,88,"superannuation, super, early, retirement, funds, guarantee, access, withdrawal, withdrawals, managed"
BERTopic,89,"frydenberg, josh, treasurer, budget, chalmers, insiders, joins, jim, shadow, frydenbergs"
BERTopic,90,"budget, losers, winners, federal, surplus, deficit, spend, spending, billion, money"
BERTopic,91,"capitol, washington, riots, riot, protesters, supporters, trump, rioters, donald, fbi"
BERTopic,92,"ibac, branch, stacking, parliament, somyurek, adem, casey, developer, sitting, aziz"
BERTopic,93,"cruise, ship, artania, ships, cargo, crew, navy, hedland, carrier, cruises"
BERTopic,94,"albanese, anthony, setka, labor, john, expulsion, leader, cfmeu, leadership, batty"
BERTopic,95,"drone, drones, footage, shows, alley, vision, extent, bowling, aerial, google"
BERTopic,96,"rail, light, congestion, delays, trains, train, traffic, canberra, inland, route"
