topic_id,event_date,frequency,z_score,keywords,event_type
52,2021-11-26 00:00:00.000000,0.0282240555796786,6.24,,SUDDEN_SPIKE_FREQ
96,2020-11-23 12:00:00.000000,0.0103092783505154,6.22,,SUDDEN_SPIKE_FREQ
519,2019-07-27 00:00:00.000000,0.0098122866894197,6.21,,SUDDEN_SPIKE_FREQ
114,2019-12-23 00:00:00.000000,0.022457627118644,6.2,,SUDDEN_SPIKE_FREQ
227,2020-09-26 12:00:00.000000,0.0077272727272727,6.18,,SUDDEN_SPIKE_FREQ
555,2021-09-19 00:00:00.000000,0.0074235807860262,6.18,,SUDDEN_SPIKE_FREQ
191,2019-04-21 00:00:00.000000,0.0157964019306713,6.18,,SUDDEN_SPIKE_FREQ
546,2019-02-09 00:00:00.000000,0.0147518998658918,6.17,,SUDDEN_SPIKE_FREQ
617,2021-02-18 12:00:00.000000,0.0095114569822741,6.17,,SUDDEN_SPIKE_FREQ
205,2019-05-14 12:00:00.000000,0.0153576129881526,6.16,,SUDDEN_SPIKE_FREQ
224,2020-06-05 12:00:00.000000,0.0400170285227756,6.16,,SUDDEN_SPIKE_FREQ
139,2019-04-21 00:00:00.000000,0.0153576129881526,6.14,,SUDDEN_SPIKE_FREQ
323,2019-06-07 12:00:00.000000,0.0071639275179098,6.13,,SUDDEN_SPIKE_FREQ
65,2021-11-26 00:00:00.000000,0.0086843247937472,6.12,,SUDDEN_SPIKE_FREQ
245,2021-04-30 12:00:00.000000,0.0179274158285964,6.1,,SUDDEN_SPIKE_FREQ
49,2020-02-16 12:00:00.000000,0.0093624609897458,6.06,,SUDDEN_SPIKE_FREQ
119,2020-01-22 00:00:00.000000,0.0064655172413793,6.06,,SUDDEN_SPIKE_FREQ
460,2019-09-13 00:00:00.000000,0.007362494586401,6.05,,SUDDEN_SPIKE_FREQ
368,2021-03-11 12:00:00.000000,0.0070052539404553,6.05,,SUDDEN_SPIKE_FREQ
562,2021-09-19 00:00:00.000000,0.0096069868995633,6.05,,SUDDEN_SPIKE_FREQ
243,2020-11-23 12:00:00.000000,0.0150343642611683,5.99,,SUDDEN_SPIKE_FREQ
523,2019-06-07 12:00:00.000000,0.0063211125158027,5.99,,SUDDEN_SPIKE_FREQ
186,2020-02-16 12:00:00.000000,0.0053499777084262,5.96,,SUDDEN_SPIKE_FREQ
212,2019-06-07 12:00:00.000000,0.0063211125158027,5.95,,SUDDEN_SPIKE_FREQ
105,2020-07-12 12:00:00.000000,0.0058664259927797,5.95,,SUDDEN_SPIKE_FREQ
260,2020-06-05 12:00:00.000000,0.0285227756492124,5.94,,SUDDEN_SPIKE_FREQ
140,2019-08-20 00:00:00.000000,0.0053595355069227,5.92,,SUDDEN_SPIKE_FREQ
505,2021-03-11 12:00:00.000000,0.0122591943957968,5.91,,SUDDEN_SPIKE_FREQ
43,2020-10-16 00:00:00.000000,0.0089096308867204,5.9,,SUDDEN_SPIKE_FREQ
71,2019-10-08 00:00:00.000000,0.0050314465408805,5.9,,SUDDEN_SPIKE_FREQ
525,2019-03-28 00:00:00.000000,0.0327520204168439,5.89,,SUDDEN_SPIKE_FREQ
124,2020-11-23 12:00:00.000000,0.0042955326460481,5.88,,SUDDEN_SPIKE_FREQ
109,2021-04-30 12:00:00.000000,0.0144293834717971,5.88,,SUDDEN_SPIKE_FREQ
255,2019-10-08 00:00:00.000000,0.0083857442348008,5.87,,SUDDEN_SPIKE_FREQ
401,2019-02-09 00:00:00.000000,0.0093875726419311,5.86,,SUDDEN_SPIKE_FREQ
247,2021-01-06 00:00:00.000000,0.0231935771632471,5.84,,SUDDEN_SPIKE_FREQ
542,2019-03-28 00:00:00.000000,0.0255210548702679,5.83,,SUDDEN_SPIKE_FREQ
574,2020-03-11 12:00:00.000000,0.0077586206896551,5.78,,SUDDEN_SPIKE_FREQ
70,2019-03-28 00:00:00.000000,0.0063802637175669,5.77,,SUDDEN_SPIKE_FREQ
138,2020-06-24 00:00:00.000000,0.0046728971962616,5.76,,SUDDEN_SPIKE_FREQ
35,2020-09-26 12:00:00.000000,0.0068181818181818,5.74,,SUDDEN_SPIKE_FREQ
204,2019-02-09 00:00:00.000000,0.0044702726866338,5.73,,SUDDEN_SPIKE_FREQ
335,2020-04-05 00:00:00.000000,0.0087221979938944,5.73,,SUDDEN_SPIKE_FREQ
55,2019-05-14 12:00:00.000000,0.0122860903905221,5.72,,SUDDEN_SPIKE_FREQ
220,2019-05-14 12:00:00.000000,0.0057042562527424,5.7,,SUDDEN_SPIKE_FREQ
328,2021-07-13 00:00:00.000000,0.006959547629404,5.68,,SUDDEN_SPIKE_FREQ
231,2020-11-23 12:00:00.000000,0.0060137457044673,5.67,,SUDDEN_SPIKE_FREQ
467,2020-12-13 12:00:00.000000,0.0100877192982456,5.66,,SUDDEN_SPIKE_FREQ
277,2020-04-27 12:00:00.000000,0.00418410041841,5.66,,SUDDEN_SPIKE_FREQ
95,2019-07-27 00:00:00.000000,0.0063993174061433,5.63,,SUDDEN_SPIKE_FREQ
536,2020-04-05 00:00:00.000000,0.0047972088966419,5.61,,SUDDEN_SPIKE_FREQ
215,2021-02-18 12:00:00.000000,0.028966709900562,5.61,,SUDDEN_SPIKE_FREQ
125,2021-01-29 12:00:00.000000,0.0149063032367972,5.59,,SUDDEN_SPIKE_FREQ
193,2019-11-01 12:00:00.000000,0.0061403508771929,5.58,,SUDDEN_SPIKE_FREQ
587,2021-07-13 00:00:00.000000,0.0095693779904306,5.53,,SUDDEN_SPIKE_FREQ
240,2020-08-01 00:00:00.000000,0.012881064834693,5.51,,SUDDEN_SPIKE_FREQ
187,2019-01-14 23:59:59.999999,0.0067283431455004,5.49,,SUDDEN_SPIKE_FREQ
419,2021-04-30 12:00:00.000000,0.0083078268473983,5.49,,SUDDEN_SPIKE_FREQ
169,2021-01-29 12:00:00.000000,0.0051107325383304,5.49,,SUDDEN_SPIKE_FREQ
493,2019-01-14 23:59:59.999999,0.0096719932716568,5.48,,SUDDEN_SPIKE_FREQ
518,2020-02-16 12:00:00.000000,0.0044583147570218,5.47,,SUDDEN_SPIKE_FREQ
369,2020-06-24 00:00:00.000000,0.0067969413763806,5.47,,SUDDEN_SPIKE_FREQ
94,2019-07-27 00:00:00.000000,0.0063993174061433,5.45,,SUDDEN_SPIKE_FREQ
496,2020-03-11 12:00:00.000000,0.0094827586206896,5.43,,SUDDEN_SPIKE_FREQ
319,2020-08-19 12:00:00.000000,0.0133630289532293,5.43,,SUDDEN_SPIKE_FREQ
88,2020-01-22 00:00:00.000000,0.0060344827586206,5.4,,SUDDEN_SPIKE_FREQ
292,2020-12-13 12:00:00.000000,0.0039473684210526,5.38,,SUDDEN_SPIKE_FREQ
507,2019-04-21 00:00:00.000000,0.0039491004826678,5.38,,SUDDEN_SPIKE_FREQ
303,2021-09-19 00:00:00.000000,0.0148471615720524,5.37,,SUDDEN_SPIKE_FREQ
363,2021-02-18 12:00:00.000000,0.004755728491137,5.37,,SUDDEN_SPIKE_FREQ
74,2019-02-09 00:00:00.000000,0.0084935181046043,5.35,,SUDDEN_SPIKE_FREQ
203,2021-11-26 00:00:00.000000,0.0043421623968736,5.34,,SUDDEN_SPIKE_FREQ
564,2020-01-22 00:00:00.000000,0.0081896551724137,5.32,,SUDDEN_SPIKE_FREQ
79,2020-10-16 00:00:00.000000,0.0042426813746287,5.32,,SUDDEN_SPIKE_FREQ
38,2021-03-11 12:00:00.000000,0.0043782837127845,5.3,,SUDDEN_SPIKE_FREQ
262,2019-10-08 00:00:00.000000,0.0041928721174004,5.26,,SUDDEN_SPIKE_FREQ
226,2020-11-23 12:00:00.000000,0.0047250859106529,5.26,,SUDDEN_SPIKE_FREQ
336,2020-10-16 00:00:00.000000,0.0046669495120916,5.26,,SUDDEN_SPIKE_FREQ
195,2020-02-16 12:00:00.000000,0.0044583147570218,5.24,,SUDDEN_SPIKE_FREQ
242,2021-09-19 00:00:00.000000,0.0327510917030567,5.24,,SUDDEN_SPIKE_FREQ
552,2020-04-05 00:00:00.000000,0.0043610989969472,5.22,,SUDDEN_SPIKE_FREQ
161,2020-01-22 00:00:00.000000,0.0038793103448275,5.19,,SUDDEN_SPIKE_FREQ
