anchor_id,anchor_label,gdelt_theme_expected,source,date,topic_id,keywords,probe_hits,velocity,velocity_z
black_summer,Black Summer bushfires,ENV_FIRES,spike_events,2020-01-22,308,"dinosaur, dinosaurs, fossil, new, fossils",0,0.0021551724137931,2.7365904206886387
black_summer,Black Summer bushfires,ENV_FIRES,spike_events,2019-11-01,27,"friday, wednesday, tuesday, thursday, monday",0,0.0039473684210526,2.6732900136133324
black_summer,Black Summer bushfires,ENV_FIRES,spike_events,2019-11-01,520,"birds, bird, parrot, night, endangered",0,0.0044383099709071,2.6697090625791904
black_summer,Black Summer bushfires,ENV_FIRES,spike_events,2019-11-01,541,"drought, farmers, rain, nsw, water",1,0.0059873351154739,2.658829330867842
black_summer,Black Summer bushfires,ENV_FIRES,spike_events,2019-11-01,328,"eating, disorders, disorder, anorexia, treatment",0,0.0013157894736842,2.6537322151151286
black_summer,Black Summer bushfires,ENV_FIRES,spike_events,2020-01-22,543,"dust, storm, storms, mildura, queensland",0,0.00216156216682,2.6076577721369114
black_summer,Black Summer bushfires,ENV_FIRES,spike_events,2020-01-22,50,"briefing, morning, friday, january, tuesday",0,0.00216156216682,2.5932595933758047
black_summer,Black Summer bushfires,ENV_FIRES,spike_events,2019-12-23,523,"fever, swine, african, pigs, pork",0,0.0016720671319375,2.545376412409599
black_summer,Black Summer bushfires,ENV_FIRES,spike_events,2020-01-22,325,"blind, vision, braille, national, impaired",0,0.0012931034482758,2.5448255381640337
black_summer,Black Summer bushfires,ENV_FIRES,spike_events,2019-12-23,614,"church, pope, catholic, abuse, francis",0,0.003789767062449,2.5364210858911775
black_summer,Black Summer bushfires,ENV_FIRES,spike_events,2019-11-01,451,"australians, australia, australias, migrants, older",0,0.0044731336709975,2.5144030544882483
black_summer,Black Summer bushfires,ENV_FIRES,spike_events,2019-12-23,489,"helicopter, rescue, pilot, helicopters, chopper",0,0.0012711864406779,2.51400046320459
black_summer,Black Summer bushfires,ENV_FIRES,spike_events,2019-11-01,204,"lebanon, protesters, protests, lebanese, beirut",0,0.0017915022159504,2.506029078934844
