topic_id,spike_date,velocity,velocity_z,keywords
452,2019-11-25,0.006696068360305295,4.352478360949419,"ceo, bank, austrac, money, laundering"
132,2021-01-29,0.0093696763202725,4.349913654199962,"myanmar, military, coup, protests, protesters"
476,2019-06-07,0.0021070375052675,4.333213722593546,"street, rate, cut, reserve, federal"
229,2020-06-24,0.0046728971962616,4.327493222940872,"china, border, india, himalayan, troops"
211,2021-01-06,0.0231935771632471,4.318415143739191,"capitol, trump, washington, donald, riots"
90,2020-07-12,0.0058664259927797,4.289810229564612,"letters, gough, whitlam, palace, dismissal"
107,2020-04-27,0.004602510460251,4.270298266710436,"petrol, prices, fuel, price, canberra"
288,2020-08-19,0.012493562604921082,4.268569621885681,"new, zealand, coronavirus, covid, cases"
212,2019-10-08,0.008350909468615617,4.253004368944023,"rebellion, extinction, protesters, climate, protest"
46,2020-10-16,0.0076368264743317,4.23391196334152,"berejiklian, maguire, daryl, gladys, icac"
91,2021-04-30,0.014859557253968076,4.228718247710803,"philip, hospital, duke, edinburgh, queen"
265,2021-02-18,0.004755728491137,4.215482128709264,"brisbane, olympics, olympic, bid, games"
216,2019-11-01,0.006595491242775862,4.21298182880251,"baghdadi, islamic, state, abu, bakr"
535,2019-03-28,0.0199019739754686,4.176661462903563,"cyclone, trevor, veronica, coast, tropical"
486,2021-04-30,0.0087450808919982,4.168600822303533,"india, covid, coronavirus, indias, cases"
295,2020-05-17,0.0039982230119946,4.16319989583045,"marie, smith, ann, police, care"
548,2020-04-05,0.005693022447582158,4.153725599796253,"tasmania, coronavirus, cases, west, outbreak"
223,2021-01-06,0.013384037196036808,4.153382227402397,"impeachment, trump, donald, trial, senate"
100,2021-09-19,0.0048034934497816,4.146479284296983,"volcano, erupts, eruption, lava, mount"
69,2019-09-13,0.0030018539100340304,4.135507343630784,"thunberg, greta, climate, david, attenborough"
40,2019-02-09,0.005811354492624,4.133577653610321,"march, february, tuesday, wednesday, monday"
84,2019-04-21,0.006613708780588033,4.132398460648542,"shorten, election, scott, federal, day"
595,2020-07-12,0.005463430031933275,4.1199623970304975,"covid, australia, news, live, victoria"
553,2020-08-01,0.008809783431305718,4.118790448714027,"care, coronavirus, aged, victoria, covid"
198,2019-02-09,0.008115769736460405,4.091731702882882,"refugees, asylum, refugee, seekers, nauru"
492,2020-06-05,0.0025542784163473,4.084672173999328,"statue, vandalised, statues, dutch, removal"
207,2020-11-23,0.011989850143479648,4.084116551558847,"war, crimes, afghanistan, report, defence"
57,2021-07-13,0.0060747885448581155,4.077588472787818,"covid, analyst, looks, abc, latest"
319,2019-07-02,0.0035890533871691,4.077207740189549,"phone, mobile, phones, schools, ban"
291,2019-02-09,0.0044702726866338,4.072977374936679,"mokbel, tony, prison, mokbels, attackers"
215,2019-10-08,0.0037735849056603,4.067795394025052,"syria, australian, syrian, children, camp"
398,2019-04-21,0.0057042562527424,4.0650425910488455,"tasmania, news, blog, april, hobart"
621,2020-11-04,0.0043066322136089,4.064005781567655,"belin, jack, trial, rape, hears"
600,2020-08-01,0.0017174753112924,4.062016109993028,"cases, new, deaths, covid, infections"
250,2019-05-14,0.0048266783677051,4.0615960365014585,"paul, election, superannuation, rudd, rba"
153,2020-11-23,0.0042955326460481,4.0606456451974315,"moore, kylie, gilbert, iran, prison"
16,2019-09-13,0.003867256717549219,4.055648127169646,
546,2021-07-13,0.02828330407228192,4.039621187112675,"lockdown, melbourne, victoria, sydney, extended"
156,2020-08-19,0.00541391610033144,4.03780148532616,"belarus, lukashenko, protests, protesters, minsk"
550,2021-07-13,0.003902779070452095,4.032741041225852,"restrictions, nsw, victoria, new, queensland"
86,2020-10-16,0.0020901133187232893,4.031654361604959,"wrap, wall, asx, share, jones"
402,2019-03-28,0.002972014812006594,4.030717617379598,"gun, laws, new, australia, guns"
252,2020-02-16,0.0044583147570218,4.030263048249538,"kevins, chant, sexist, college, students"
30,2019-06-07,0.0033712600084281,4.022513935759395,"phillip, lasker, tuesday, wednesday, monday"
412,2021-07-13,0.0034721727360329403,4.006673074966021,"cases, records, new, deaths, cafasso"
345,2019-11-25,0.0040124832813196,4.004258466079107,"ibac, casey, hears, councillor, developer"
359,2019-09-13,0.002583833446761109,4.003359988397747,"kong, hong, says, extradition, quit"
10,2019-08-20,0.0018057482637219235,3.987064727650286,
178,2019-07-27,0.0063993174061433,3.982477497073976,"shayna, jack, doping, ban, wada"
313,2019-10-08,0.004161665972692846,3.9758041923139213,"whistleblower, ato, says, sues, whistleblowers"
66,2019-05-14,0.011842105263157885,3.973573699248825,"eurovision, contest, performs, song, montaigne"
139,2019-12-23,0.08467108050847459,3.969225118376671,"bushfire, bushfires, nsw, fires, emergency"
395,2020-03-11,0.0068786879955744385,3.961654786743218,"updates, live, australia, covid, latest"
371,2021-07-13,0.0039147455415398,3.952272686195652,"building, collapse, miami, collapsed, collapses"
413,2020-04-27,0.0033281290468495073,3.9457742192496763,"australia, ceo, capital, bain, bidders"
270,2020-01-22,0.0030172413793103,3.923276077029441,"peter, gutwein, premier, tasmanian, tasmania"
356,2019-06-07,0.005859799701190588,3.921559150382738,"square, massacre, anniversary, china, kong"
374,2019-03-28,0.0033970029538761227,3.913442046086799,"pauline, hanson, nation, young, says"
145,2019-06-07,0.007985856972815494,3.9114846483170074,"afp, raids, raid, abc, court"
504,2021-11-26,0.0034737299174989,3.9094710566007826,"plus, takes, jane, seth, adam"
354,2021-11-26,0.0026052974381241,3.906860508321678,"parliament, federal, sitting, final, week"
234,2020-05-17,0.0027148840574757367,3.9058118086754114,"coronavirus, covid, trump, donald, australia"
93,2019-11-25,0.0049193783199358585,3.905414828224973,"measles, outbreak, samoa, vaccination, cases"
581,2020-03-11,0.005947240458951948,3.9043084437223583,"italy, coronavirus, covid, lockdown, japan"
