week,velocity
2003-02-24/2003-03-02,0.017673433
2003-03-03/2003-03-09,0.019720912
2003-03-10/2003-03-16,0.010916233
2003-03-17/2003-03-23,0.07150793
2003-03-24/2003-03-30,0.017336845
2003-03-31/2003-04-06,0.017939508
2003-04-07/2003-04-13,0.0145666
2003-04-14/2003-04-20,0.019812465
2003-04-21/2003-04-27,0.029610395
2003-04-28/2003-05-04,0.02810496
2003-05-05/2003-05-11,0.019412518
2003-05-12/2003-05-18,0.019325495
2003-05-19/2003-05-25,0.018189311
2003-05-26/2003-06-01,0.035389245
