k,c_v,u_mass,topic_word_diversity,perplexity_exp_neg_log_p,perplexity_split,train_secs
5,0.3377843777144664,-6.204365475328645,0.98,12574.650256682758,held-out,30.6
10,0.36648654780235324,-9.137250664222837,1.0,23357.625823096267,held-out,31.5
15,0.351802944531573,-9.877477463349829,1.0,252555.8432021605,held-out,32.1
20,0.3906569225046304,-11.433623136290645,1.0,763815.7432273158,held-out,33.5
25,0.41477289325454103,-12.398101301671897,0.996,2281610.5533913905,held-out,34.0
