Topic,Keywords
1,"war, urged, death, sars, wa, world, budget, australia, home, road, act, toll, china, car, report"
2,"police, new, court, win, killed, face, claims, mp, hospital, concerns, takes, wins, trial, coast, woman"
3,"iraq, council, says, qld, set, troops, vic, anti, missing, funding, day, attack, title, security, sars"
4,"man, plan, iraqi, baghdad, water, boost, crash, group, talks, drought, final, rain, farmers, industry, korea"
5,"govt, nsw, cup, iraq, calls, health, council, dead, nt, open, charged, says, lead, gets, defends"
